gem_location_id,plant_name,province,latitude,longitude,treated,pilot,cohort_year,year,q,yq,so2_mean,so2_median,n_valid_days,so2_std
L100000100372,Taishan power station,Guangdong,21.8667,112.9228,1,GD_pilot,2013,2019,1,2019Q1,0.0236904799406017,-0.0558333341032266,14,0.3366579012408711
L100000100377,Heyuan power station,Guangdong,23.567222,114.640278,1,GD_pilot,2013,2019,1,2019Q1,0.0039428573101758,0.0725714266300201,10,0.2525625588050021
L100000100381,Haimen power station,Guangdong,23.1899,116.6548,1,GD_pilot,2013,2019,1,2019Q1,0.0730952365057809,0.0159999970346689,14,0.1463186042603318
L100000100390,Lufeng Jiahuwan power station,Guangdong,22.832499,115.985482,1,GD_pilot,2013,2019,1,2019Q1,0.0288888946175575,-0.0639999955892562,15,0.2725433133224593
L100000100392,Maoming Bohe power station,Guangdong,21.441033,111.289628,1,GD_pilot,2013,2019,1,2019Q1,0.1220098045818945,0.0474999994039535,17,0.2756331136203527
L100000100402,Shenhua Qingyuan power station,Guangdong,24.417008,113.540884,1,GD_pilot,2013,2019,1,2019Q1,0.0742592583927843,0.0366666577756404,9,0.1724680147341313
L100000100407,Shanwei Haifeng CCS power station,Guangdong,22.7545453,115.0419938,1,GD_pilot,2013,2019,1,2019Q1,0.0339583330787718,-0.0087500000372528,12,0.2634095884821987
L100000100408,Shanwei Honghaiwan power station,Guangdong,22.70695,115.55529,1,GD_pilot,2013,2019,1,2019Q1,0.0068888920048872,0.0100000016391277,15,0.2306067488033458
L100000100417,Yangxi Zhujiang power station,Guangdong,21.54264,111.67033,1,GD_pilot,2013,2019,1,2019Q1,0.0942999979946762,0.0653333347290753,20,0.2592692997280091
L100000100418,Dabu power station,Guangdong,24.4057171,116.5877945,1,GD_pilot,2013,2019,1,2019Q1,0.0102272714403542,0.016666667535901,11,0.2637739135635219
L100000100430,Beihai Bebuwan power station,Guangxi,21.5821851,109.5816259,0,,0,2019,1,2019Q1,0.1250952370464801,0.0803333371877669,14,0.3942471100283001
L100000100436,Fangchenggang Qisha power station,Guangxi,21.5914,108.3946,0,,0,2019,1,2019Q1,-0.0271428568022591,0.050000000745058,7,0.1898134430437098
L100000100437,Beihai power station,Guangxi,21.535871,109.590176,0,,0,2019,1,2019Q1,0.1199404726071017,0.0950000025331973,14,0.3625957600293211
L100000100444,Hezhou power station,Guangxi,24.73609,111.34667,0,,0,2019,1,2019Q1,-0.1469999924302101,-0.1469999924302101,2,0.2588010690173407
L100000100452,Qinzhou power station,Guangxi,21.7004655,108.6243063,0,,0,2019,1,2019Q1,0.1609523833862372,0.1349999904632568,7,0.2940015376026305
L100000100477,Guizhou Fa'er power station,Guizhou,26.3259319,104.7705622,0,,0,2019,1,2019Q1,0.013043210255327,0.0600000023841857,27,0.2402787571473296
L100000100498,Panxian-2 power station,Guizhou,25.4686039,104.5924059,0,,0,2019,1,2019Q1,0.0792261903905975,0.0183333256281911,28,0.2952677128879442
L100000100502,Qianxi power station,Guizhou,27.0516899,106.1252456,0,,0,2019,1,2019Q1,0.0156666659750044,0.0166666680015623,10,0.1483243808012882
L100000100542,China Resources Caofeidian power station,Hebei,38.9960653,118.4875488,0,,0,2019,1,2019Q1,0.1587356213351775,0.0116666704416275,29,0.5549768656928626
L100000100551,Dingzhou power station,Hebei,38.5122064,114.8433969,0,,0,2019,1,2019Q1,-0.0839166779071092,0.0624999944120645,20,0.4846950960428928
L100000100568,Shang'an power station,Hebei,38.05729,114.19627,0,,0,2019,1,2019Q1,0.1084848498205908,0.0408333325758576,22,0.355522903541815
L100000100569,Hebei Cangdong power station,Hebei,38.31,117.8786111,0,,0,2019,1,2019Q1,0.0229880926864487,-0.0025000050663947,28,0.4921244421294621
L100000100591,Xibaipo power station,Hebei,38.245068,114.2149428,0,,0,2019,1,2019Q1,0.0612068921006445,0.0199999995529651,29,0.4450989527035431
L100000100598,Zhangjiakou power station,Hebei,40.6595781,114.9438143,0,,0,2019,1,2019Q1,0.0391410187734529,0.0099999997764825,39,0.4843693978729851
L100000100610,Qitaihe power station,Heilongjiang,45.7604176,131.0533476,0,,0,2019,1,2019Q1,-0.1304019633680582,0.0758333280682563,34,0.5517756274687551
L100000100647,Datang Sanmenxia power station,Henan,34.6855176,111.0274363,0,,0,2019,1,2019Q1,0.1820634819921993,0.1033333167433738,21,0.3257029673198448
L100000100648,Xinyang power station,Henan,32.109018,114.140877,0,,0,2019,1,2019Q1,0.0002708297688513,-0.0169999990612268,16,0.4419757342145582
L100000100650,Dengfeng-2 power station,Henan,34.39274,113.19878,0,,0,2019,1,2019Q1,0.0836452377960085,0.1379999965429306,20,0.3487116908229172
L100000100657,Hebi power station,Henan,35.851366,114.1798126,0,,0,2019,1,2019Q1,0.1951904818415641,0.1983333230018615,21,0.5989567270079243
L100000100664,Henan Xin'an power station,Henan,34.7413202,112.0634119,0,,0,2019,1,2019Q1,0.113149995310232,0.0983333401381969,20,0.3088246842077622
L100000100665,Henan Xinmi power station,Henan,34.50003,113.59801,0,,0,2019,1,2019Q1,-0.0278833361342549,0.0540000032633542,20,0.414479928730866
L100000100677,Qinbei power station,Henan,35.1676,112.71654,0,,0,2019,1,2019Q1,0.1576666643843055,0.1649999916553497,25,0.2680390007063624
L100000100680,Jiaozuo Danhe power station,Henan,35.188487,112.887561,0,,0,2019,1,2019Q1,0.1787701790099558,0.1442857086658477,23,0.3707792902155885
L100000100696,Nanyang Yahekou power station,Henan,33.3086427,112.644474,0,,0,2019,1,2019Q1,-0.007473681146573,-0.0049999901093542,19,0.2106938085847181
L100000100697,Pingdingshan Luyang power station,Henan,33.82189,113.01438,0,,0,2019,1,2019Q1,0.2909411682802088,0.2339999973773956,17,0.2413442707641943
L100000100707,Nanyang Neixiang power station,Henan,33.086416,111.90004,0,,0,2019,1,2019Q1,0.1600343896490004,0.1466666683554648,18,0.2812432291519671
L100000100716,Xuchang Yulong power station,Henan,34.1751132,113.3581446,0,,0,2019,1,2019Q1,0.1055844208352606,0.1200000047683715,22,0.2809676795036055
L100000100717,Yaomeng power station,Henan,33.7379928,113.2418822,0,,0,2019,1,2019Q1,0.2856666651864846,0.2299999892711639,15,0.2390465958920206
L100000100730,Dabieshan power station,Hubei,31.1420662,114.8921871,1,HB_pilot,2014,2019,1,2019Q1,-0.0671666720882058,-0.0308333304710685,16,0.220834143163772
L100000100737,Hanchuan power station,Hubei,30.6566087,113.9172741,1,HB_pilot,2014,2019,1,2019Q1,-0.1462121155451644,0.0583333261311054,11,0.4019909314571733
L100000100740,Huadian Xisaishan power station,Hubei,30.203056,115.180278,1,HB_pilot,2014,2019,1,2019Q1,0.0411666676934276,0.0689999982714652,14,0.3172000408547309
L100000100742,Yangluo power station,Hubei,30.6938889,114.5430556,1,HB_pilot,2014,2019,1,2019Q1,-0.0548076901871424,-0.1199999973177909,13,0.2399600262681674
L100000100745,Hubei Ezhou power station,Hubei,30.5517656,114.6420121,1,HB_pilot,2014,2019,1,2019Q1,-0.0343055482953786,-0.0358333345502614,12,0.2820903741838033
L100000100751,Puqi Xianning power station,Hubei,29.66523,113.87296,1,HB_pilot,2014,2019,1,2019Q1,0.0297710615246055,0.0599999986588954,13,0.2993637290495065
L100000100760,Huadian Xiangyang power station,Hubei,31.9118256,112.16692,1,HB_pilot,2014,2019,1,2019Q1,0.0821428538433143,0.1333333328366279,14,0.3299193217067552
L100000100771,Pingjiang power station,Hunan,28.808542,113.54144,0,,0,2019,1,2019Q1,-0.0610769234884243,-0.0459999963641166,13,0.328014852563012
L100000100773,Huaneng Yueyang power station,Hunan,29.4497908,113.1623018,0,,0,2019,1,2019Q1,0.1050000010291114,0.097500005736947,8,0.2630860762353531
L100000100779,Jinzhushan power station,Hunan,27.6252776,111.4823651,0,,0,2019,1,2019Q1,0.0496904742238777,0.016999996965751,14,0.0978424030879778
L100000100782,Liyujiang power station,Hunan,25.940443,113.192476,0,,0,2019,1,2019Q1,0.1212962886525525,0.050000000745058,9,0.3449303434857957
L100000100785,Shenhua Yongzhou power station,Hunan,26.56672,111.492692,0,,0,2019,1,2019Q1,0.0775000064168125,0.0425000004470347,8,0.2121951697573532
L100000100786,Guoneng Yueyang power station,Hunan,29.6129835,112.754572,0,,0,2019,1,2019Q1,0.1246969735842536,0.1016666665673255,11,0.2027406965948656
L100000100788,Xiangtan power station,Hunan,27.8282792,112.9968045,0,,0,2019,1,2019Q1,0.1043589730711223,0.0400000028312206,13,0.1748971804215769
L100000100789,Yiyang power station,Hunan,28.5966667,112.2686111,0,,0,2019,1,2019Q1,0.0043988124428627,-0.0021428583422675,12,0.1311537516703705
L100000100795,Baotou Aluminum power station,Inner Mongolia,40.557202,110.148382,1,IM_voluntary,2015,2019,1,2019Q1,0.1063250000064726,0.0141666581621393,40,0.4355593429757809
L100000100811,Chifeng Yuanbaoshan power station,Inner Mongolia,42.303333,119.324167,1,IM_voluntary,2015,2019,1,2019Q1,0.0305555584124737,0.0033333338020989,36,0.3902825561737073
L100000100813,Chuangyuan Smelter power station,Inner Mongolia,45.437275,119.427496,1,IM_voluntary,2015,2019,1,2019Q1,0.0114354472710854,0.0514285750687122,45,0.3716544581199966
L100000100822,Daihai power station,Inner Mongolia,40.519675,112.667725,1,IM_voluntary,2015,2019,1,2019Q1,-0.0173873885257823,-0.075000025331974,37,0.3082180164695045
L100000100823,Dalate power station,Inner Mongolia,40.36695,109.99604,1,IM_voluntary,2015,2019,1,2019Q1,0.0267235813662409,0.0799999982118606,41,0.5038717770128197
L100000100830,Togtoh power station,Inner Mongolia,40.1952329,111.358881,1,IM_voluntary,2015,2019,1,2019Q1,0.134033340451424,0.0225000046193599,40,0.4059056457215698
L100000100845,Guoneng Shanghaimiao power station,Inner Mongolia,38.309587,106.679378,1,IM_voluntary,2015,2019,1,2019Q1,-0.0040090121014194,0.0299999993294477,37,0.3369879691708192
L100000100847,Jiangsu Energy Group Wulagai power station,Inner Mongolia,45.955947,119.106454,1,IM_voluntary,2015,2019,1,2019Q1,-0.011965907475149,0.0191666651517152,44,0.3527214416225014
L100000100861,Hohhot Jinshan cogen power station,Inner Mongolia,40.7072133,111.4600879,1,IM_voluntary,2015,2019,1,2019Q1,0.1129065094197668,0.0799999982118606,41,0.4572296958387644
L100000100863,Hongjun Aluminum power station,Inner Mongolia,45.5128784,119.6504373,1,IM_voluntary,2015,2019,1,2019Q1,0.0504963007445136,0.0466666631400585,45,0.3931013713440485
L100000100887,Shangdu power station,Inner Mongolia,42.22369,116.029256,1,IM_voluntary,2015,2019,1,2019Q1,-0.0051403452168431,0.0133333327248692,38,0.3923506469043059
L100000100888,Inner Mongolia Changcheng power station,Inner Mongolia,38.249688,106.657876,1,IM_voluntary,2015,2019,1,2019Q1,-0.0040090121014194,0.0299999993294477,37,0.3369879691708192
L100000100894,Yimin power station,Inner Mongolia,48.549722,119.773889,1,IM_voluntary,2015,2019,1,2019Q1,0.052071423481194,0.0128571414388716,38,0.4067935566314266
L100000100899,Huolinhe Zhanute power station,Inner Mongolia,45.409847,119.596739,1,IM_voluntary,2015,2019,1,2019Q1,0.0198121656353274,0.0357142873108387,45,0.3999460051275262
L100000100910,Jining power station,Inner Mongolia,41.053294,113.153289,1,IM_voluntary,2015,2019,1,2019Q1,-0.0096825472123566,-0.1195000074803828,42,0.4730178254458584
L100000100913,Junggar Suancigou power station,Inner Mongolia,39.711744,111.200548,1,IM_voluntary,2015,2019,1,2019Q1,0.0980166648281738,0.0258333291858434,40,0.6074286975625528
L100000100933,Mengtai Beijiao power station,Inner Mongolia,39.846004,109.984888,1,IM_voluntary,2015,2019,1,2019Q1,-0.0191158565533597,-0.0687499940395355,41,0.3875108705758028
L100000100937,Ordos Power Qipanjing power station,Inner Mongolia,39.385235,106.965664,1,IM_voluntary,2015,2019,1,2019Q1,0.1181082249421513,0.03999999538064,33,0.4153996051775374
L100000100948,Inner Mongolia Shenglu power station,Inner Mongolia,38.373756,106.782583,1,IM_voluntary,2015,2019,1,2019Q1,-0.0026530629023909,0.0271428693085908,35,0.3342546421748403
L100000100954,Tongliao power station,Inner Mongolia,43.6713737,122.1535206,1,IM_voluntary,2015,2019,1,2019Q1,-0.1209899813586257,0.0114285795716568,38,0.6097619693722686
L100000100969,Changshu-1 power station,Jiangsu,31.753204,120.9634852,0,,0,2019,1,2019Q1,0.1750714221437062,0.2229999899864196,14,0.3171996331905109
L100000100970,Changshu-2 power station,Jiangsu,31.757764,120.97813,0,,0,2019,1,2019Q1,0.129166668147913,0.1650000065565108,14,0.3269063126186412
L100000100973,Yancheng Binhai power station,Jiangsu,34.307421,120.246943,0,,0,2019,1,2019Q1,0.0089250062592327,0.0399999953806399,20,0.5185584895258645
L100000100974,Changzhou power station,Jiangsu,31.9583333,119.9925,0,,0,2019,1,2019Q1,0.2835416741048296,0.2099999859929084,12,0.5763141596506846
L100000100982,Taizhou power station,Jiangsu,32.187206,119.914444,0,,0,2019,1,2019Q1,0.2744761938229203,0.1528571397066116,15,0.3330274061719112
L100000100984,Guohua Xuzhou power station,Jiangsu,34.395144,117.259705,0,,0,2019,1,2019Q1,0.1371622045990079,0.1164285577833652,16,0.2665565575284492
L100000100988,Jurong power station,Jiangsu,32.19575,119.2497,0,,0,2019,1,2019Q1,0.2038333317885796,0.1800000071525573,15,0.3946278313865661
L100000100993,Jinling power station,Jiangsu,32.17178,119.01977,0,,0,2019,1,2019Q1,0.1408888795723517,0.0316666550934314,15,0.2729053417271432
L100000100997,Huaneng Taicang power station,Jiangsu,31.656908,121.17932,0,,0,2019,1,2019Q1,0.0607333288838465,0.1400000005960464,15,0.2370186846616419
L100000100998,Jianbi power station,Jiangsu,32.17693,119.57554,0,,0,2019,1,2019Q1,0.1868888805309931,0.0766666606068611,15,0.3277241390804787
