date,gem_location_id,plant_name,province,latitude,longitude,treated,pilot,cohort_year,product,version,value_mean,n_valid_pixels
2026-06-14,L100000100402,Shenhua Qingyuan power station,Guangdong,24.417008,113.540884,1,GD_pilot,2013.0,OMSO2e,4,,0
2026-06-14,L100000100407,Shanwei Haifeng CCS power station,Guangdong,22.7545453,115.0419938,1,GD_pilot,2013.0,OMSO2e,4,,0
2026-06-14,L100000100408,Shanwei Honghaiwan power station,Guangdong,22.70695,115.55529,1,GD_pilot,2013.0,OMSO2e,4,,0
2026-06-14,L100000100417,Yangxi Zhujiang power station,Guangdong,21.54264,111.67033,1,GD_pilot,2013.0,OMSO2e,4,,0
2026-06-14,L100000100418,Dabu power station,Guangdong,24.4057171,116.5877945,1,GD_pilot,2013.0,OMSO2e,4,,0
2026-06-14,L100000100430,Beihai Bebuwan power station,Guangxi,21.5821851,109.5816259,0,,,OMSO2e,4,,0
2026-06-14,L100000100436,Fangchenggang Qisha power station,Guangxi,21.5914,108.3946,0,,,OMSO2e,4,,0
2026-06-14,L100000100437,Beihai power station,Guangxi,21.535871,109.590176,0,,,OMSO2e,4,,0
2026-06-14,L100000100444,Hezhou power station,Guangxi,24.73609,111.34667,0,,,OMSO2e,4,,0
2026-06-14,L100000100452,Qinzhou power station,Guangxi,21.7004655,108.6243063,0,,,OMSO2e,4,,0
2026-06-14,L100000100477,Guizhou Fa'er power station,Guizhou,26.3259319,104.7705622,0,,,OMSO2e,4,,0
2026-06-14,L100000100498,Panxian-2 power station,Guizhou,25.4686039,104.5924059,0,,,OMSO2e,4,,0
2026-06-14,L100000100502,Qianxi power station,Guizhou,27.0516899,106.1252456,0,,,OMSO2e,4,,0
2026-06-14,L100000100542,China Resources Caofeidian power station,Hebei,38.9960653,118.4875488,0,,,OMSO2e,4,-0.1799999922513961,2
2026-06-14,L100000100551,Dingzhou power station,Hebei,38.5122064,114.8433969,0,,,OMSO2e,4,0.053333330899477,6
2026-06-14,L100000100568,Shang'an power station,Hebei,38.05729,114.19627,0,,,OMSO2e,4,-0.1766666620969772,6
2026-06-14,L100000100569,Hebei Cangdong power station,Hebei,38.31,117.8786111,0,,,OMSO2e,4,-0.053333330899477,6
2026-06-14,L100000100591,Xibaipo power station,Hebei,38.245068,114.2149428,0,,,OMSO2e,4,-0.2149999886751175,6
2026-06-14,L100000100598,Zhangjiakou power station,Hebei,40.6595781,114.9438143,0,,,OMSO2e,4,-0.1799999922513961,5
2026-06-14,L100000100610,Qitaihe power station,Heilongjiang,45.7604176,131.0533476,0,,,OMSO2e,4,0.2566666305065155,6
2026-06-14,L100000100647,Datang Sanmenxia power station,Henan,34.6855176,111.0274363,0,,,OMSO2e,4,,0
2026-06-14,L100000100648,Xinyang power station,Henan,32.109018,114.140877,0,,,OMSO2e,4,,0
2026-06-14,L100000100650,Dengfeng-2 power station,Henan,34.39274,113.19878,0,,,OMSO2e,4,0.3000000119209289,1
2026-06-14,L100000100657,Hebi power station,Henan,35.851366,114.1798126,0,,,OMSO2e,4,,0
2026-06-14,L100000100664,Henan Xin'an power station,Henan,34.7413202,112.0634119,0,,,OMSO2e,4,0.0399999991059303,3
2026-06-14,L100000100665,Henan Xinmi power station,Henan,34.50003,113.59801,0,,,OMSO2e,4,-0.0399999991059303,1
2026-06-14,L100000100677,Qinbei power station,Henan,35.1676,112.71654,0,,,OMSO2e,4,0.4679999947547912,5
2026-06-14,L100000100680,Jiaozuo Danhe power station,Henan,35.188487,112.887561,0,,,OMSO2e,4,0.4850000143051147,4
2026-06-14,L100000100696,Nanyang Yahekou power station,Henan,33.3086427,112.644474,0,,,OMSO2e,4,,0
2026-06-14,L100000100697,Pingdingshan Luyang power station,Henan,33.82189,113.01438,0,,,OMSO2e,4,0.1899999976158142,1
2026-06-14,L100000100707,Nanyang Neixiang power station,Henan,33.086416,111.90004,0,,,OMSO2e,4,,0
2026-06-14,L100000100716,Xuchang Yulong power station,Henan,34.1751132,113.3581446,0,,,OMSO2e,4,0.2633333504199981,3
